family	group	method	auc_unit1	auc_unit25	auc_delta	avg_BS_delta
family_1	group5 len = 82	Supermatrix-ML	0.841094106154347	0.996111111111111	0.155017004956764	0.0984375
family_2	group5 len = 82	Supermatrix-ML	0.855203619909502	0.94775	0.0925463800904978	0.0276041666666667
family_3	group5 len = 82	Supermatrix-ML	0.887096774193548	0.972	0.0849032258064516	0.147395833333333
family_4	group5 len = 82	Supermatrix-ML	0.903703703703704	0.941818181818182	0.0381144781144781	0.136197916666667
family_5	group5 len = 82	Supermatrix-ML	0.831740342493031	0.835	0.00325965750696944	0.166666666666667
family_7	group5 len = 82	Supermatrix-ML	0.701285714285714	0.84475	0.143464285714286	0.133333333333333
family_8	group5 len = 82	Supermatrix-ML	0.794526257293693	0.716481481481481	-0.0780447758122111	0.0953125
family_10	group5 len = 82	Supermatrix-ML	0.831081081081081	0.90175	0.0706689189189189	0.134895833333333
family_11	group5 len = 82	Supermatrix-ML	0.783865546218487	0.845	0.0611344537815125	0.109375
family_12	group5 len = 82	Supermatrix-ML	0.67968508799012	0.70462962962963	0.0249445416395092	0.0231770833333333
family_13	group5 len = 82	Supermatrix-ML	0.865185185185185	0.867272727272727	0.00208754208754214	0.161197916666667
family_14	group5 len = 82	Supermatrix-ML	0.763817577771066	0.8935	0.129682422228934	0.134895833333333
family_15	group5 len = 82	Supermatrix-ML	0.828269675925926	0.910454545454546	0.0821848695286196	0.1625
family_16	group5 len = 82	Supermatrix-ML	0.749768447051559	0.765	0.0152315529484409	0.0424479166666667
family_17	group5 len = 82	Supermatrix-ML	0.737517099863201	0.8875	0.149982900136799	0.0450520833333333
family_19	group5 len = 82	Supermatrix-ML	0.883928571428571	0.829090909090909	-0.0548376623376623	0.0953125
family_21	group5 len = 82	Supermatrix-ML	0.694695424074614	0.87515625	0.180460825925386	0.0809895833333334
family_22	group5 len = 82	Supermatrix-ML	0.838881118881119	0.939814814814815	0.100933695933696	0.0518229166666667
family_24	group5 len = 82	Supermatrix-ML	0.850040916530278	0.946363636363636	0.0963227198333581	0.127083333333333
family_25	group5 len = 82	Supermatrix-ML	0.785378151260504	0.994545454545455	0.20916730328495	0.127083333333333
family_27	group5 len = 82	Supermatrix-ML	0.737733459955682	0.847272727272727	0.109539267317045	0.0979166666666667
family_28	group5 len = 82	Supermatrix-ML	0.745647356758468	0.884545454545455	0.138898097786987	0.172395833333333
family_29	group5 len = 82	Supermatrix-ML	0.817275747508306	0.7525	-0.0647757475083057	0.166145833333333
family_31	group5 len = 82	Supermatrix-ML	0.764378994165046	0.732592592592593	-0.0317864015724533	0.000520833333333415
family_33	group5 len = 82	Supermatrix-ML	0.776214833759591	0.936818181818182	0.160603348058591	0.140104166666667
family_34	group5 len = 82	Supermatrix-ML	0.751095181202708	0.992727272727273	0.241632091524565	0.113541666666667
family_35	group5 len = 82	Supermatrix-ML	0.778514588859416	0.976818181818182	0.198303592958765	0.147395833333333
family_37	group5 len = 82	Supermatrix-ML	0.815261865793781	0.796818181818182	-0.0184436839755988	0.100520833333333
family_38	group5 len = 82	Supermatrix-ML	0.885850694444444	0.90075	0.0148993055555556	0.0971354166666667
family_40	group5 len = 82	Supermatrix-ML	0.718870346598203	0.981851851851852	0.262981505253649	0.142708333333333
family_41	group5 len = 82	Supermatrix-ML	0.845238095238095	0.789545454545455	-0.0556926406926407	0.071875
family_42	group5 len = 82	Supermatrix-ML	0.820012019230769	1	0.179987980769231	0.105729166666667
family_43	group5 len = 82	Supermatrix-ML	0.885494003426613	0.985909090909091	0.100415087482478	0.128385416666667
family_44	group5 len = 82	Supermatrix-ML	0.8164592760181	0.85775	0.0412907239819005	0.0591145833333333
family_45	group5 len = 82	Supermatrix-ML	0.786044973544973	0.956666666666667	0.170621693121693	0.0755208333333333
family_46	group5 len = 82	Supermatrix-ML	0.720326185442465	0.96025	0.239923814557536	0.114583333333333
family_47	group5 len = 82	Supermatrix-ML	0.763863718738673	0.91	0.146136281261326	0.12421875
family_48	group5 len = 82	Supermatrix-ML	0.851708074534162	0.998181818181818	0.146473743647657	0.16953125
family_50	group5 len = 82	Supermatrix-ML	0.863636363636364	0.975909090909091	0.112272727272727	0.123697916666667
family_51	group5 len = 82	Supermatrix-ML	0.8428125	0.662727272727273	-0.180085227272727	0.136197916666667
family_52	group5 len = 82	Supermatrix-ML	0.760285714285714	0.82453125	0.0642455357142857	0.0169270833333334
family_54	group5 len = 82	Supermatrix-ML	0.828403361344538	0.938	0.109596638655462	0.0867187500000001
family_55	group5 len = 82	Supermatrix-ML	0.796150278293135	0.939090909090909	0.142940630797774	0.128645833333333
family_56	group5 len = 82	Supermatrix-ML	0.704022150976392	0.72	0.0159778490236083	0.0953125
family_57	group5 len = 82	Supermatrix-ML	0.737219146857701	0.937962962962963	0.200743816105262	0.04765625
family_59	group5 len = 82	Supermatrix-ML	0.734435173299101	0.676363636363636	-0.058071536935465	0.118489583333333
family_62	group5 len = 82	Supermatrix-ML	0.806100875868318	0.910909090909091	0.104808215040773	0.13203125
family_64	group5 len = 82	Supermatrix-ML	0.816238038277512	0.995	0.178761961722488	0.0593750000000001
family_65	group5 len = 82	Supermatrix-ML	0.806337027564649	0.564090909090909	-0.24224611847374	0.116927083333333
family_66	group5 len = 82	Supermatrix-ML	0.842215256008359	0.957727272727273	0.115512016718913	0.152083333333333
family_67	group5 len = 82	Supermatrix-ML	0.817373461012312	0.81	-0.00737346101231184	0.0455729166666666
family_68	group5 len = 82	Supermatrix-ML	0.766323978883023	0.54	-0.226323978883023	0.177864583333333
family_69	group5 len = 82	Supermatrix-ML	0.801985370950888	0.823636363636364	0.0216509926854755	0.104166666666667
family_70	group5 len = 82	Supermatrix-ML	0.790246768507638	0.883518518518518	0.0932717500108804	0.0476562500000001
family_71	group5 len = 82	Supermatrix-ML	0.784465170504226	0.95975	0.175284829495774	0.0994791666666667
family_72	group5 len = 82	Supermatrix-ML	0.836538461538462	0.961363636363636	0.124825174825175	0.0416666666666666
family_73	group5 len = 82	Supermatrix-ML	0.763494318181818	0.784090909090909	0.0205965909090908	0.109635416666667
family_74	group5 len = 82	Supermatrix-ML	0.760430916552668	0.98375	0.223319083447332	0.16015625
family_75	group5 len = 82	Supermatrix-ML	0.825766626841896	0.90475	0.0789833731581044	0.101302083333333
family_76	group5 len = 82	Supermatrix-ML	0.707977207977208	0.77275	0.0647727920227921	0.0708333333333333
family_77	group5 len = 82	Supermatrix-ML	0.857753357753358	0.885	0.0272466422466423	0.165364583333333
family_79	group5 len = 82	Supermatrix-ML	0.858217592592593	0.9335	0.0752824074074074	0.17109375
family_80	group5 len = 82	Supermatrix-ML	0.794125874125874	0.82775	0.0336241258741258	0.10390625
family_82	group5 len = 82	Supermatrix-ML	0.694584736251403	0.8821875	0.187602763748597	0.11015625
family_83	group5 len = 82	Supermatrix-ML	0.698332854268468	0.7245	0.0261671457315321	0.12265625
family_84	group5 len = 82	Supermatrix-ML	0.827069716775599	1	0.172930283224401	0.12109375
family_85	group5 len = 82	Supermatrix-ML	0.827663671373556	0.973333333333333	0.145669661959777	0.0770833333333333
family_86	group5 len = 82	Supermatrix-ML	0.769600699504518	0.83	0.0603993004954825	0.103645833333333
family_87	group5 len = 82	Supermatrix-ML	0.831143465909091	0.783181818181818	-0.0479616477272727	0.0799479166666667
family_88	group5 len = 82	Supermatrix-ML	0.767592872244035	0.962272727272727	0.194679855028692	0.109114583333333
family_89	group5 len = 82	Supermatrix-ML	0.771314892004547	0.903636363636364	0.132321471631817	0.108072916666667
