family	group	method	percent_ref	avg_BS
family_1	group5 len = 82	Supermatrix-ME	0.763	0.663197916666667
family_2	group5 len = 82	Supermatrix-ME	0.736	0.547604166666667
family_3	group5 len = 82	Supermatrix-ME	0.802666666666667	0.682083333333333
family_4	group5 len = 82	Supermatrix-ME	0.832	0.68146875
family_5	group5 len = 82	Supermatrix-ME	0.949666666666667	0.7420625
family_6	group5 len = 82	Supermatrix-ME	0.978	0.751291666666667
family_7	group5 len = 82	Supermatrix-ME	0.813	0.603104166666667
family_8	group5 len = 82	Supermatrix-ME	0.659333333333333	0.620635416666667
family_9	group5 len = 82	Supermatrix-ME	0.938666666666667	0.6450625
family_10	group5 len = 82	Supermatrix-ME	0.666	0.511979166666667
family_11	group5 len = 82	Supermatrix-ME	0.742333333333333	0.5583125
family_12	group5 len = 82	Supermatrix-ME	0.795	0.619197916666667
family_13	group5 len = 82	Supermatrix-ME	0.731333333333333	0.622
family_14	group5 len = 82	Supermatrix-ME	0.860333333333333	0.6801875
family_15	group5 len = 82	Supermatrix-ME	0.770333333333333	0.517822916666667
family_16	group5 len = 82	Supermatrix-ME	0.859	0.633875
family_17	group5 len = 82	Supermatrix-ME	0.79	0.642854166666667
family_18	group5 len = 82	Supermatrix-ME	0.913333333333333	0.600604166666667
family_19	group5 len = 82	Supermatrix-ME	0.877333333333333	0.735666666666667
family_20	group5 len = 82	Supermatrix-ME	0.897333333333333	0.679552083333333
family_21	group5 len = 82	Supermatrix-ME	0.736	0.62065625
family_22	group5 len = 82	Supermatrix-ME	0.728333333333333	0.575260416666667
family_23	group5 len = 82	Supermatrix-ME	0.910333333333333	0.719875
family_24	group5 len = 82	Supermatrix-ME	0.903	0.674166666666667
family_25	group5 len = 82	Supermatrix-ME	0.962666666666667	0.613895833333333
family_26	group5 len = 82	Supermatrix-ME	0.799333333333333	0.554489583333333
family_27	group5 len = 82	Supermatrix-ME	0.862666666666667	0.623333333333333
family_28	group5 len = 82	Supermatrix-ME	0.758666666666667	0.59578125
family_29	group5 len = 82	Supermatrix-ME	0.887	0.638302083333333
family_30	group5 len = 82	Supermatrix-ME	0.823	0.758177083333333
family_31	group5 len = 82	Supermatrix-ME	0.691333333333333	0.587052083333333
family_32	group5 len = 82	Supermatrix-ME	0.935	0.77103125
family_33	group5 len = 82	Supermatrix-ME	0.661333333333333	0.504239583333333
family_34	group5 len = 82	Supermatrix-ME	0.969	0.73003125
family_35	group5 len = 82	Supermatrix-ME	0.826666666666667	0.683208333333333
family_36	group5 len = 82	Supermatrix-ME	0.801333333333333	0.628302083333333
family_37	group5 len = 82	Supermatrix-ME	0.827666666666667	0.732864583333333
family_38	group5 len = 82	Supermatrix-ME	0.736333333333333	0.62434375
family_39	group5 len = 82	Supermatrix-ME	0.825333333333333	0.458166666666667
family_40	group5 len = 82	Supermatrix-ME	0.874	0.558677083333333
family_41	group5 len = 82	Supermatrix-ME	0.887666666666667	0.68240625
family_42	group5 len = 82	Supermatrix-ME	0.907	0.773302083333333
family_43	group5 len = 82	Supermatrix-ME	0.951333333333333	0.695541666666667
family_44	group5 len = 82	Supermatrix-ME	0.772666666666667	0.5621875
family_45	group5 len = 82	Supermatrix-ME	0.821	0.713802083333333
family_46	group5 len = 82	Supermatrix-ME	0.791666666666667	0.602072916666667
family_47	group5 len = 82	Supermatrix-ME	0.720333333333333	0.658104166666667
family_48	group5 len = 82	Supermatrix-ME	0.884333333333333	0.72925
family_49	group5 len = 82	Supermatrix-ME	0.962666666666667	0.789770833333333
family_50	group5 len = 82	Supermatrix-ME	0.797666666666667	0.626854166666667
family_51	group5 len = 82	Supermatrix-ME	0.775333333333333	0.637666666666667
family_52	group5 len = 82	Supermatrix-ME	0.578666666666667	0.655145833333333
family_53	group5 len = 82	Supermatrix-ME	0.923	0.717552083333333
family_54	group5 len = 82	Supermatrix-ME	0.835666666666667	0.594697916666667
family_55	group5 len = 82	Supermatrix-ME	0.905	0.719072916666667
family_56	group5 len = 82	Supermatrix-ME	0.810333333333333	0.53884375
family_57	group5 len = 82	Supermatrix-ME	0.831	0.674291666666667
family_58	group5 len = 82	Supermatrix-ME	0.956	0.803427083333333
family_59	group5 len = 82	Supermatrix-ME	0.948666666666667	0.65815625
family_60	group5 len = 82	Supermatrix-ME	0.806	0.6226875
family_61	group5 len = 82	Supermatrix-ME	0.965666666666667	0.732385416666667
family_62	group5 len = 82	Supermatrix-ME	0.843	0.562583333333333
family_63	group5 len = 82	Supermatrix-ME	0.938666666666667	0.567333333333333
family_64	group5 len = 82	Supermatrix-ME	0.788	0.673885416666667
family_65	group5 len = 82	Supermatrix-ME	0.667666666666667	0.576760416666667
family_66	group5 len = 82	Supermatrix-ME	0.851	0.664385416666667
family_67	group5 len = 82	Supermatrix-ME	0.899666666666667	0.625
family_68	group5 len = 82	Supermatrix-ME	0.686666666666667	0.561854166666667
family_69	group5 len = 82	Supermatrix-ME	0.756666666666667	0.665729166666667
family_70	group5 len = 82	Supermatrix-ME	0.845333333333333	0.582354166666667
family_71	group5 len = 82	Supermatrix-ME	0.724	0.591520833333333
family_72	group5 len = 82	Supermatrix-ME	0.835	0.81146875
family_73	group5 len = 82	Supermatrix-ME	0.769333333333333	0.5823125
family_74	group5 len = 82	Supermatrix-ME	0.796333333333333	0.64
family_75	group5 len = 82	Supermatrix-ME	0.887666666666667	0.714260416666667
family_76	group5 len = 82	Supermatrix-ME	0.754	0.638645833333333
family_77	group5 len = 82	Supermatrix-ME	0.885	0.653854166666667
family_78	group5 len = 82	Supermatrix-ME	0.974666666666667	0.740166666666667
family_79	group5 len = 82	Supermatrix-ME	0.938333333333333	0.64490625
family_80	group5 len = 82	Supermatrix-ME	0.662333333333333	0.495458333333333
family_81	group5 len = 82	Supermatrix-ME	0.803333333333333	0.545947916666667
family_82	group5 len = 82	Supermatrix-ME	0.733666666666667	0.486895833333333
family_83	group5 len = 82	Supermatrix-ME	0.767	0.60315625
family_84	group5 len = 82	Supermatrix-ME	0.866333333333333	0.651895833333333
family_85	group5 len = 82	Supermatrix-ME	0.811666666666667	0.618510416666667
family_86	group5 len = 82	Supermatrix-ME	0.783	0.617635416666667
family_87	group5 len = 82	Supermatrix-ME	0.841333333333333	0.6214375
family_88	group5 len = 82	Supermatrix-ME	0.850666666666667	0.6884375
family_89	group5 len = 82	Supermatrix-ME	0.799	0.695864583333333
family_90	group5 len = 82	Supermatrix-ME	0.715666666666667	0.518010416666667
family_91	group5 len = 82	Supermatrix-ME	0.825666666666667	0.657510416666667
family_92	group5 len = 82	Supermatrix-ME	0.900333333333333	0.773697916666667
family_93	group5 len = 82	Supermatrix-ME	0.937	0.717583333333333
family_94	group5 len = 82	Supermatrix-ME	0.879	0.7296875
family_95	group5 len = 82	Supermatrix-ME	0.732	0.548822916666667
family_96	group5 len = 82	Supermatrix-ME	0.833	0.58190625
family_97	group5 len = 82	Supermatrix-ME	0.967666666666667	0.79853125
family_98	group5 len = 82	Supermatrix-ME	0.684333333333333	0.4871875
family_99	group5 len = 82	Supermatrix-ME	0.825333333333333	0.690447916666667
family_100	group5 len = 82	Supermatrix-ME	0.865333333333333	0.6465625
family_101	group4 len = 60	Supermatrix-ME	0.784666666666667	0.632010416666667
