family	group	method	percent_ref	avg_BS
family_1	group5 len = 82	Supermatrix-ML	0.768333333333333	0.724302083333333
family_2	group5 len = 82	Supermatrix-ML	0.807666666666667	0.622635416666667
family_3	group5 len = 82	Supermatrix-ML	0.861	0.779989583333333
family_4	group5 len = 82	Supermatrix-ML	0.927	0.74953125
family_5	group5 len = 82	Supermatrix-ML	0.912333333333333	0.751854166666667
family_6	group5 len = 82	Supermatrix-ML	0.979666666666667	0.771802083333333
family_7	group5 len = 82	Supermatrix-ML	0.838	0.620822916666667
family_8	group5 len = 82	Supermatrix-ML	0.719	0.61034375
family_9	group5 len = 82	Supermatrix-ML	0.969666666666667	0.720822916666667
family_10	group5 len = 82	Supermatrix-ML	0.807	0.5196875
family_11	group5 len = 82	Supermatrix-ML	0.878	0.67403125
family_12	group5 len = 82	Supermatrix-ML	0.707333333333333	0.628010416666667
family_13	group5 len = 82	Supermatrix-ML	0.886	0.67590625
family_14	group5 len = 82	Supermatrix-ML	0.855333333333333	0.67846875
family_15	group5 len = 82	Supermatrix-ML	0.899666666666667	0.619166666666667
family_16	group5 len = 82	Supermatrix-ML	0.763666666666667	0.669697916666667
family_17	group5 len = 82	Supermatrix-ML	0.868333333333333	0.669052083333333
family_18	group5 len = 82	Supermatrix-ML	0.865	0.661322916666667
family_19	group5 len = 82	Supermatrix-ML	0.911333333333333	0.8120625
family_20	group5 len = 82	Supermatrix-ML	0.952666666666667	0.70053125
family_21	group5 len = 82	Supermatrix-ML	0.714666666666667	0.65078125
family_22	group5 len = 82	Supermatrix-ML	0.744333333333333	0.542489583333333
family_23	group5 len = 82	Supermatrix-ML	0.954666666666667	0.696552083333333
family_24	group5 len = 82	Supermatrix-ML	0.903666666666667	0.726760416666667
family_25	group5 len = 82	Supermatrix-ML	0.912	0.644322916666667
family_26	group5 len = 82	Supermatrix-ML	0.923333333333333	0.583052083333333
family_27	group5 len = 82	Supermatrix-ML	0.888	0.67215625
family_28	group5 len = 82	Supermatrix-ML	0.893666666666667	0.615458333333333
family_29	group5 len = 82	Supermatrix-ML	0.824	0.697979166666667
family_30	group5 len = 82	Supermatrix-ML	0.937	0.716864583333333
family_31	group5 len = 82	Supermatrix-ML	0.693	0.559322916666667
family_32	group5 len = 82	Supermatrix-ML	0.989333333333333	0.777552083333333
family_33	group5 len = 82	Supermatrix-ML	0.883333333333333	0.568291666666667
family_34	group5 len = 82	Supermatrix-ML	0.925333333333333	0.743604166666667
family_35	group5 len = 82	Supermatrix-ML	0.905333333333333	0.72696875
family_36	group5 len = 82	Supermatrix-ML	0.955333333333333	0.676885416666667
family_37	group5 len = 82	Supermatrix-ML	0.897	0.765520833333333
family_38	group5 len = 82	Supermatrix-ML	0.782666666666667	0.577583333333333
family_39	group5 len = 82	Supermatrix-ML	0.919	0.586927083333333
family_40	group5 len = 82	Supermatrix-ML	0.784333333333333	0.632416666666667
family_41	group5 len = 82	Supermatrix-ML	0.899333333333333	0.744104166666667
family_42	group5 len = 82	Supermatrix-ML	0.934333333333333	0.847770833333333
family_43	group5 len = 82	Supermatrix-ML	0.936333333333333	0.78259375
family_44	group5 len = 82	Supermatrix-ML	0.804666666666667	0.5950625
family_45	group5 len = 82	Supermatrix-ML	0.788333333333333	0.711916666666667
family_46	group5 len = 82	Supermatrix-ML	0.855333333333333	0.64534375
family_47	group5 len = 82	Supermatrix-ML	0.873333333333333	0.73628125
family_48	group5 len = 82	Supermatrix-ML	0.908666666666667	0.78375
family_49	group5 len = 82	Supermatrix-ML	0.992	0.811625
family_50	group5 len = 82	Supermatrix-ML	0.895333333333333	0.73953125
family_51	group5 len = 82	Supermatrix-ML	0.878666666666667	0.688760416666667
family_52	group5 len = 82	Supermatrix-ML	0.65	0.660677083333333
family_53	group5 len = 82	Supermatrix-ML	0.954	0.762760416666667
family_54	group5 len = 82	Supermatrix-ML	0.805666666666667	0.682645833333333
family_55	group5 len = 82	Supermatrix-ML	0.882	0.724104166666667
family_56	group5 len = 82	Supermatrix-ML	0.810333333333333	0.581989583333333
family_57	group5 len = 82	Supermatrix-ML	0.758333333333333	0.720166666666667
family_58	group5 len = 82	Supermatrix-ML	0.984	0.796166666666667
family_59	group5 len = 82	Supermatrix-ML	0.868	0.694645833333333
family_60	group5 len = 82	Supermatrix-ML	0.919	0.68484375
family_61	group5 len = 82	Supermatrix-ML	0.949333333333333	0.73571875
family_62	group5 len = 82	Supermatrix-ML	0.892	0.631010416666667
family_63	group5 len = 82	Supermatrix-ML	0.966	0.664677083333333
family_64	group5 len = 82	Supermatrix-ML	0.876666666666667	0.652208333333333
family_65	group5 len = 82	Supermatrix-ML	0.862666666666667	0.64890625
family_66	group5 len = 82	Supermatrix-ML	0.91	0.738552083333333
family_67	group5 len = 82	Supermatrix-ML	0.874333333333333	0.66409375
family_68	group5 len = 82	Supermatrix-ML	0.787333333333333	0.575833333333333
family_69	group5 len = 82	Supermatrix-ML	0.892666666666667	0.7261875
family_70	group5 len = 82	Supermatrix-ML	0.775	0.621958333333333
family_71	group5 len = 82	Supermatrix-ML	0.853	0.577416666666667
family_72	group5 len = 82	Supermatrix-ML	0.924	0.847291666666667
family_73	group5 len = 82	Supermatrix-ML	0.904	0.68290625
family_74	group5 len = 82	Supermatrix-ML	0.846333333333333	0.710385416666667
family_75	group5 len = 82	Supermatrix-ML	0.843333333333333	0.724791666666667
family_76	group5 len = 82	Supermatrix-ML	0.837666666666667	0.6604375
family_77	group5 len = 82	Supermatrix-ML	0.908	0.676552083333333
