"family_name"	"BigTree_ML"	"BigTree_ME"	"Supermatrix_ML"	"Supermatrix_ME"	"Supertree_ML"	"Supertree_ME"	"family_group"
"avg_branchlen_0.7_protein_family_001.sub"	626000	31300	74532	715	148100	2000	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_002.sub"	503000	31700	75848	1033	163400	2264	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_003.sub"	627000	36900	73534	716	149800	2041	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_004.sub"	592000	29500	79400	1557	141000	1907	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_005.sub"	631000	36100	59076	750	154200	1916	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_006.sub"	647000	36300	72799	932	150000	1958	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_007.sub"	562000	36400	84615	749	159300	1981	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_008.sub"	779000	36100	77400	1664	169400	2002	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_009.sub"	609000	36100	81615	787	173700	2014	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_010.sub"	638000	36100	68200	1319	179000	2211	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_011.sub"	668000	36800	84629	792	159200	2241	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_012.sub"	664000	29800	77593	753	171400	1965	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_013.sub"	552000	36500	62744	855	177000	2379	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_014.sub"	689000	28900	72569	709	162000	2513	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_015.sub"	692000	30200	79513	684	168600	2799	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_016.sub"	576000	36000	96526	688	148000	2369	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_017.sub"	649000	37600	71833	947	146500	1872	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_018.sub"	627000	37400	77500	1619	151100	2328	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_019.sub"	791000	37200	68630	777	163500	1896	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_020.sub"	539000	30100	77654	794	156900	2141	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_021.sub"	436000	37800	71755	873	160900	2150	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_022.sub"	533000	36800	68822	939	185700	1963	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_023.sub"	616000	36700	77500	1638	145600	2231	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_024.sub"	521000	37300	61752	870	141400	2159	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_025.sub"	694000	37300	74500	1673	155300	2101	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_026.sub"	610000	36600	78850	1038	164000	2444	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_027.sub"	620000	30300	93200	1524	160900	1842	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_028.sub"	688000	37600	74873	1079	149400	2129	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_029.sub"	638000	36100	66400	1517	171300	2051	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_030.sub"	6e+05	36000	72100	1242	160200	1963	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_031.sub"	633000	36700	78844	1028	163700	2342	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_032.sub"	555000	36300	62810	994	163500	2341	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_033.sub"	635000	36200	80654	780	166200	2118	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_034.sub"	591000	29100	60321	1023	144500	2110	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_035.sub"	528000	36400	67623	745	167100	2451	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_036.sub"	756000	29900	72614	728	166800	2058	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_037.sub"	606000	30000	64564	721	161900	2143	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_038.sub"	631000	30200	73584	717	168700	2569	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_039.sub"	628000	36300	75552	727	149300	2108	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_040.sub"	681000	31500	74608	757	147000	2221	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_041.sub"	706000	38400	76517	660	151200	1940	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_042.sub"	596000	36100	71400	1532	127700	2109	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_11th_17th_20th_22th_and_23th_50_fams_25_species"
