method unit mean_rf_val sd_rf_val median_rf_val
SM_ME 1 0.481378916491146 0.218829808688686 0.461538461538462
SM_ME 2 0.420915991829493 0.216791406678035 0.384615384615385
SM_ME 3 0.385934872507213 0.218372484467903 0.363636363636364
SM_ME 4 0.366810434214251 0.222773279559524 0.357142857142857
SM_ME 5 0.352534401652615 0.225787776382398 0.333333333333333
SM_ME 6 0.34770102510135 0.222796332858515 0.307692307692308
SM_ML 1 0.460662619034306 0.221649443626514 0.454545454545455
SM_ML 2 0.356347421135139 0.226700752615149 0.333333333333333
SM_ML 3 0.320807215572846 0.224319643112729 0.285714285714286
SM_ML 4 0.274892622542702 0.216032625604698 0.25
SM_ML 5 0.260894613921685 0.217670057770712 0.222222222222222
SM_ML 6 0.262491483362887 0.226721463166358 0.230769230769231
ST_ME 1 0.481378916491146 0.218829808688686 0.461538461538462
ST_ME 2 0.453378500552951 0.221624210359398 0.428571428571429
ST_ME 3 0.425192429326123 0.215444195465151 0.4
ST_ME 4 0.399840233250714 0.222437662519484 0.363636363636364
ST_ME 5 0.390764541801033 0.222762497666863 0.363636363636364
ST_ME 6 0.381455869789329 0.219325770485411 0.352941176470588
ST_ML 1 0.460662619034306 0.221649443626514 0.454545454545455
ST_ML 2 0.432843697256595 0.213425304539047 0.421052631578947
ST_ML 3 0.373106793380995 0.225089135676174 0.333333333333333
ST_ML 4 0.345478637356139 0.232032812250045 0.307692307692308
ST_ML 5 0.326242999556259 0.218774051567458 0.294117647058824
ST_ML 6 0.318338570938907 0.216396912028056 0.294117647058824
