swap_species	2	3	4	5	6	7	8	9	10	15
1	0.273 ± 0.151	0.276 ± 0.145	0.269 ± 0.147	0.273 ± 0.146	0.274 ± 0.141	0.272 ± 0.147	0.273 ± 0.152	0.278 ± 0.153	0.268 ± 0.146	NA
2	0.272 ± 0.154	0.27 ± 0.145	0.276 ± 0.154	0.272 ± 0.146	0.276 ± 0.158	0.274 ± 0.144	0.279 ± 0.149	0.27 ± 0.146	0.271 ± 0.142	NA
3	0.277 ± 0.145	0.273 ± 0.148	0.282 ± 0.146	0.278 ± 0.136	0.271 ± 0.147	0.275 ± 0.145	0.283 ± 0.15	0.263 ± 0.146	0.268 ± 0.142	NA
4	0.278 ± 0.148	0.277 ± 0.148	0.278 ± 0.144	0.267 ± 0.147	0.27 ± 0.148	0.28 ± 0.148	0.272 ± 0.139	0.273 ± 0.147	0.288 ± 0.139	NA
5	0.267 ± 0.149	0.271 ± 0.149	0.288 ± 0.142	0.278 ± 0.146	0.282 ± 0.154	0.276 ± 0.142	0.269 ± 0.154	0.265 ± 0.144	0.278 ± 0.151	NA
6	0.277 ± 0.144	0.275 ± 0.155	0.281 ± 0.138	0.278 ± 0.152	0.265 ± 0.147	0.278 ± 0.141	0.276 ± 0.158	0.288 ± 0.144	0.283 ± 0.143	NA
7	0.269 ± 0.143	0.274 ± 0.142	0.277 ± 0.156	0.275 ± 0.15	0.278 ± 0.152	0.276 ± 0.15	0.274 ± 0.138	0.269 ± 0.143	0.272 ± 0.144	NA
8	0.272 ± 0.133	0.268 ± 0.153	0.292 ± 0.143	0.291 ± 0.141	0.273 ± 0.156	0.279 ± 0.153	0.279 ± 0.15	0.279 ± 0.147	0.28 ± 0.149	NA
9	0.279 ± 0.148	0.275 ± 0.148	0.274 ± 0.143	0.28 ± 0.131	0.273 ± 0.144	0.302 ± 0.147	0.285 ± 0.153	0.292 ± 0.144	0.284 ± 0.145	NA
10	0.28 ± 0.142	0.273 ± 0.148	0.282 ± 0.142	0.282 ± 0.142	0.282 ± 0.14	0.284 ± 0.157	0.276 ± 0.134	0.273 ± 0.137	0.272 ± 0.144	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.482 ± 0.161	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.981 ± 0.037
