swap_species	2	3	4	5	6	7	8	9	10	15
1	0.273 ± 0.146	0.276 ± 0.148	0.272 ± 0.145	0.275 ± 0.15	0.279 ± 0.151	0.278 ± 0.149	0.275 ± 0.152	0.278 ± 0.145	0.276 ± 0.144	NA
2	0.275 ± 0.145	0.275 ± 0.147	0.279 ± 0.149	0.275 ± 0.142	0.273 ± 0.146	0.275 ± 0.15	0.281 ± 0.146	0.279 ± 0.151	0.276 ± 0.147	NA
3	0.272 ± 0.15	0.272 ± 0.142	0.278 ± 0.145	0.282 ± 0.143	0.275 ± 0.148	0.268 ± 0.147	0.273 ± 0.147	0.272 ± 0.145	0.275 ± 0.151	NA
4	0.275 ± 0.143	0.273 ± 0.155	0.276 ± 0.145	0.278 ± 0.146	0.278 ± 0.146	0.278 ± 0.146	0.282 ± 0.15	0.273 ± 0.148	0.283 ± 0.142	NA
5	0.281 ± 0.147	0.278 ± 0.145	0.278 ± 0.148	0.278 ± 0.149	0.283 ± 0.151	0.279 ± 0.147	0.28 ± 0.152	0.278 ± 0.147	0.284 ± 0.147	NA
6	0.278 ± 0.146	0.274 ± 0.151	0.281 ± 0.149	0.279 ± 0.155	0.282 ± 0.138	0.285 ± 0.144	0.281 ± 0.144	0.28 ± 0.145	0.278 ± 0.151	NA
7	0.277 ± 0.149	0.282 ± 0.152	0.275 ± 0.152	0.272 ± 0.148	0.273 ± 0.14	0.28 ± 0.147	0.286 ± 0.146	0.278 ± 0.142	0.276 ± 0.151	NA
8	0.28 ± 0.151	0.278 ± 0.148	0.283 ± 0.146	0.278 ± 0.152	0.283 ± 0.147	0.286 ± 0.141	0.286 ± 0.145	0.293 ± 0.154	0.287 ± 0.152	NA
9	0.279 ± 0.154	0.283 ± 0.149	0.277 ± 0.146	0.281 ± 0.145	0.283 ± 0.149	0.286 ± 0.152	0.284 ± 0.15	0.289 ± 0.155	0.279 ± 0.149	NA
10	0.28 ± 0.152	0.272 ± 0.144	0.284 ± 0.154	0.291 ± 0.15	0.286 ± 0.145	0.285 ± 0.151	0.291 ± 0.137	0.287 ± 0.143	0.292 ± 0.151	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.52 ± 0.173	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.979 ± 0.048
