swap_species	2	3	4	5	6	7	8	9	10	15
1	0.165 ± 0.127	0.166 ± 0.128	0.167 ± 0.128	0.165 ± 0.129	0.163 ± 0.126	0.165 ± 0.126	0.169 ± 0.127	0.167 ± 0.128	0.163 ± 0.124	NA
2	0.162 ± 0.128	0.162 ± 0.13	0.163 ± 0.127	0.164 ± 0.129	0.164 ± 0.129	0.175 ± 0.133	0.169 ± 0.124	0.17 ± 0.129	0.166 ± 0.132	NA
3	0.164 ± 0.128	0.162 ± 0.126	0.168 ± 0.13	0.17 ± 0.124	0.168 ± 0.132	0.168 ± 0.128	0.167 ± 0.131	0.16 ± 0.123	0.168 ± 0.129	NA
4	0.173 ± 0.127	0.173 ± 0.13	0.166 ± 0.128	0.169 ± 0.135	0.164 ± 0.124	0.171 ± 0.133	0.169 ± 0.128	0.163 ± 0.131	0.165 ± 0.127	NA
5	0.165 ± 0.129	0.164 ± 0.128	0.164 ± 0.126	0.167 ± 0.129	0.171 ± 0.129	0.175 ± 0.129	0.171 ± 0.128	0.168 ± 0.13	0.165 ± 0.129	NA
6	0.173 ± 0.128	0.163 ± 0.124	0.166 ± 0.131	0.173 ± 0.128	0.167 ± 0.126	0.173 ± 0.13	0.17 ± 0.124	0.168 ± 0.133	0.175 ± 0.135	NA
7	0.167 ± 0.128	0.167 ± 0.126	0.172 ± 0.127	0.178 ± 0.129	0.168 ± 0.123	0.169 ± 0.128	0.164 ± 0.132	0.174 ± 0.13	0.168 ± 0.131	NA
8	0.16 ± 0.122	0.163 ± 0.128	0.169 ± 0.127	0.169 ± 0.125	0.172 ± 0.128	0.171 ± 0.136	0.169 ± 0.132	0.169 ± 0.131	0.178 ± 0.136	NA
9	0.163 ± 0.124	0.171 ± 0.121	0.168 ± 0.125	0.169 ± 0.129	0.169 ± 0.123	0.168 ± 0.121	0.171 ± 0.123	0.173 ± 0.129	0.168 ± 0.125	NA
10	0.163 ± 0.125	0.172 ± 0.126	0.168 ± 0.121	0.17 ± 0.123	0.168 ± 0.131	0.183 ± 0.128	0.182 ± 0.127	0.173 ± 0.126	0.167 ± 0.128	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.441 ± 0.176	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.977 ± 0.044
