swap_species	2	3	4	5	6	7	8	9	10	15
1	0.11 ± 0.084	0.106 ± 0.081	0.107 ± 0.083	0.106 ± 0.088	0.108 ± 0.086	0.111 ± 0.08	0.107 ± 0.082	0.103 ± 0.083	0.108 ± 0.084	NA
2	0.116 ± 0.087	0.104 ± 0.08	0.103 ± 0.086	0.112 ± 0.084	0.104 ± 0.085	0.108 ± 0.085	0.109 ± 0.085	0.108 ± 0.082	0.111 ± 0.085	NA
3	0.107 ± 0.083	0.113 ± 0.09	0.113 ± 0.088	0.104 ± 0.085	0.108 ± 0.086	0.111 ± 0.085	0.111 ± 0.086	0.112 ± 0.09	0.108 ± 0.092	NA
4	0.107 ± 0.087	0.109 ± 0.095	0.11 ± 0.085	0.111 ± 0.085	0.117 ± 0.088	0.113 ± 0.093	0.119 ± 0.094	0.114 ± 0.102	0.112 ± 0.094	NA
5	0.109 ± 0.083	0.113 ± 0.09	0.113 ± 0.092	0.114 ± 0.091	0.111 ± 0.089	0.111 ± 0.089	0.119 ± 0.093	0.118 ± 0.095	0.113 ± 0.09	NA
6	0.111 ± 0.089	0.107 ± 0.08	0.109 ± 0.092	0.11 ± 0.085	0.118 ± 0.096	0.12 ± 0.089	0.12 ± 0.094	0.124 ± 0.096	0.113 ± 0.084	NA
7	0.108 ± 0.091	0.114 ± 0.093	0.117 ± 0.087	0.111 ± 0.089	0.124 ± 0.09	0.108 ± 0.091	0.128 ± 0.091	0.118 ± 0.099	0.129 ± 0.099	NA
8	0.106 ± 0.087	0.114 ± 0.096	0.116 ± 0.082	0.114 ± 0.095	0.123 ± 0.097	0.113 ± 0.095	0.121 ± 0.092	0.118 ± 0.096	0.121 ± 0.091	NA
9	0.113 ± 0.09	0.117 ± 0.089	0.109 ± 0.089	0.12 ± 0.094	0.121 ± 0.094	0.13 ± 0.096	0.13 ± 0.098	0.128 ± 0.097	0.139 ± 0.099	NA
10	0.113 ± 0.083	0.114 ± 0.089	0.122 ± 0.091	0.123 ± 0.102	0.125 ± 0.094	0.12 ± 0.099	0.132 ± 0.1	0.14 ± 0.1	0.143 ± 0.094	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.357 ± 0.147	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.978 ± 0.042
