group	family	unit	sample	node	BS	ref_presence
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	1	0.90625	1
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	2	0.5625	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	3	0.65625	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	4	0.5	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	5	0.65625	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	6	0.3125	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	7	0.84375	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	8	0.78125	1
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	9	0.375	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	10	0.28125	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	11	0.3125	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	1	12	0.15625	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	1	0.1875	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	2	0.125	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	3	0.125	1
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	4	0.1875	1
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	5	0.28125	1
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	6	0.34375	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	7	0.28125	1
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	8	0.1875	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	9	0.125	1
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	10	0.25	1
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	11	0.53125	1
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	2	12	0.3125	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	3	1	0.25	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	3	2	0.0625	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	3	3	0.125	0
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	3	4	0.1875	1
results	../results/avg_branchlen_0.7_protein_family_001.sub	1	3	5	0.28125	0
