Unit	ME_SM	ME_ST	ML_SM	ML_ST
1	0.13	0.13	0.132	0.132
2	0.134	0.128	0.129	0.129
3	0.133	0.131	0.126	0.131
4	0.136	0.133	0.129	0.127
5	0.133	0.13	0.128	0.127
6	0.135	0.129	0.127	0.127
7	0.134	0.128	0.128	0.124
8	0.136	0.128	0.129	0.124
9	0.137	0.128	0.129	0.123
10	0.136	0.129	0.13	0.122
11	0.137	0.128	0.132	0.123
12	0.137	0.128	0.131	0.121
13	0.137	0.13	0.13	0.122
14	0.139	0.128	0.132	0.124
15	0.138	0.128	0.133	0.123
16	0.139	0.129	0.133	0.124
17	0.14	0.128	0.134	0.124
18	0.141	0.13	0.135	0.125
19	0.14	0.129	0.135	0.124
20	0.141	0.129	0.135	0.125
21	0.142	0.129	0.136	0.124
22	0.144	0.13	0.137	0.125
23	0.144	0.13	0.139	0.125
24	0.145	0.13	0.139	0.125
25	0.147	0.131	0.141	0.124
