Row_Name	group1_BS	group1_ref	group2_BS	group2_ref	group3_BS	group3_ref	group4_BS	group4_ref	group5_BS	group5_ref
0<BS<=0.1	598	17.8929765886288 %	359	15.8774373259053 %	298	26.1744966442953 %	150	16.6666666666667 %	67	25.3731343283582 %
0.1<BS<=0.2	1160	28.3620689655172 %	895	31.2849162011173 %	787	37.992376111817 %	498	26.7068273092369 %	315	46.6666666666667 %
0.2<BS<=0.3	1607	43.9950217797138 %	1294	43.2766615146831 %	1223	50.8585445625511 %	859	41.4435389988359 %	643	48.9891135303266 %
0.3<BS<=0.4	1771	57.8769057029927 %	1578	58.6818757921419 %	1558	58.9216944801027 %	1205	55.103734439834 %	883	60.475651189128 %
0.4<BS<=0.5	2236	70.2593917710197 %	2093	73.3397037744864 %	2084	73.0326295585413 %	2042	71.3516160626836 %	1527	73.7393582187295 %
0.5<BS<=0.6	1483	81.8610923803102 %	1497	85.2371409485638 %	1477	85.0372376438727 %	1530	85.4901960784314 %	1428	82.2128851540616 %
0.6<BS<=0.7	1141	88.5188431200701 %	1313	90.5559786747906 %	1324	92.6737160120846 %	1661	93.4978928356412 %	1527	92.4034053700066 %
0.7<BS<=0.8	886	94.0180586907449 %	1166	93.6535162950257 %	1183	96.7032967032967 %	1573	96.5034965034965 %	1619	96.8499073502162 %
0.8<BS<=0.9	652	97.8527607361963 %	943	97.6670201484624 %	1062	98.9642184557439 %	1246	99.5184590690209 %	1719	99.3019197207679 %
0.9<BS<=1	466	100 %	862	99.0719257540603 %	1004	99.9003984063745 %	1236	100 %	2272	99.955985915493 %
